Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accesibilidad,Chrome 111.0.0.0,,,2023-04-11 14:17:01,2023-04-11 14:17:28,"27,477s",PASSED
,,,,,,,
Test Cases/01-Login/LGN01-Login happy case,Chrome 111.0.0.0,,Login,2023-04-11 14:17:01,2023-04-11 14:17:28,"27,135s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 111.0.0.0,,,2023-04-11 14:17:01,2023-04-11 14:17:05,"3,962s",PASSED
"vDNI = findTestData(""02-Usuarios/SetUsers-FF"").getValue(3, 1)",Chrome 111.0.0.0,,,2023-04-11 14:17:05,2023-04-11 14:17:06,"0,098s",PASSED
"vClave = findTestData(""02-Usuarios/SetUsers-FF"").getValue(5, 1)",Chrome 111.0.0.0,,,2023-04-11 14:17:06,2023-04-11 14:17:06,"0,081s",PASSED
"vUsuario = findTestData(""02-Usuarios/SetUsers-FF"").getValue(4, 1)",Chrome 111.0.0.0,,,2023-04-11 14:17:06,2023-04-11 14:17:06,"0,086s",PASSED
openBrowser(ServerUsado),Chrome 111.0.0.0,,,2023-04-11 14:17:06,2023-04-11 14:17:16,"10,645s",PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-04-11 14:17:16,2023-04-11 14:17:17,"0,174s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/01-Login/btnLgnCerrarBanner""))",Chrome 111.0.0.0,,,2023-04-11 14:17:17,2023-04-11 14:17:17,"0,710s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnCerrarBanner""))",Chrome 111.0.0.0,,,2023-04-11 14:17:17,2023-04-11 14:17:18,"0,458s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnDNI""), vDNI)",Chrome 111.0.0.0,,,2023-04-11 14:17:18,2023-04-11 14:17:19,"0,993s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnClave""), vClave)",Chrome 111.0.0.0,,,2023-04-11 14:17:19,2023-04-11 14:17:20,"0,895s",PASSED
"setText(findTestObject(""Object Repository/01-Login/txtLgnUsuario""), vUsuario)",Chrome 111.0.0.0,,,2023-04-11 14:17:20,2023-04-11 14:17:20,"0,876s",PASSED
"click(findTestObject(""Object Repository/01-Login/btnLgnIngresar""))",Chrome 111.0.0.0,,,2023-04-11 14:17:20,2023-04-11 14:17:21,"0,568s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/icoDsbSalir""))",Chrome 111.0.0.0,,,2023-04-11 14:17:21,2023-04-11 14:17:27,"5,965s",PASSED
Start tear down : fPassScript,Chrome 111.0.0.0,,,2023-04-11 14:17:27,2023-04-11 14:17:28,"1,039s",PASSED
